Chem_Name,SMI,INCHI,INCHIKEY,NeglogLD50,Source,CF_Bonds
Trifluralin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],"InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",ZSDSQXJSNMTJDA-UHFFFAOYSA-N,1.7863919925721483,CATMOS,3
Perfluorotributylamine,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C12F27N/c13-1(14,7(25,26)27)4(19,20)10(34,35)40(11(36,37)5(21,22)2(15,16)8(28,29)30)12(38,39)6(23,24)3(17,18)9(31,32)33",RVZRBWKZFJCCIB-UHFFFAOYSA-N,1.8267775316340056,CATMOS,27
"Cyanamide, N-[methyloxido[1-[6-(trifluoromethyl)-3-pyridinyl]ethyl]-?4-sulfanylidene]-",CC(c1ccc(C(F)(F)F)nc1)S(C)(=O)=NC#N,"InChI=1S/C10H10F3N3OS/c1-7(18(2,17)16-6-14)8-3-4-9(15-5-8)10(11,12)13/h3-5,7H,1-2H3",ZVQOOHYFBIDMTQ-UHFFFAOYSA-N,2.442904448739099,CATMOS,3
"Propanoic acid, 2,2,3,3,3-pentafluoro-, silver(1+) salt (1:1)",O=C(O)C(F)(F)C(F)(F)F,"InChI=1S/C3HF5O2/c4-2(5,1(9)10)3(6,7)8/h(H,9,10)",LRMSQVBRUNSOJL-UHFFFAOYSA-N,1.966947370872262,CATMOS,5
"Pentanedioic acid, hexafluoro-, diethyl ester",CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)OCC,"InChI=1S/C9H10F6O4/c1-3-18-5(16)7(10,11)9(14,15)8(12,13)6(17)19-4-2/h3-4H2,1-2H3",MSDPXVBLFJODJO-UHFFFAOYSA-N,1.5964695372501343,CATMOS,6
"Benzamide, 3,5-bis(trifluoromethyl)-, N-(5-chloro-4-(trifluoromethyl)-2-thiazolyl)-N-methyl-",CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nc(C(F)(F)F)c(Cl)s1,"InChI=1S/C14H6ClF9N2OS/c1-26(11-25-8(9(15)28-11)14(22,23)24)10(27)5-2-6(12(16,17)18)4-7(3-5)13(19,20)21/h2-4H,1H3",QXRSIENXVRAUPR-UHFFFAOYSA-N,2.95980945142573,CATMOS,9
"Benzimidazole, 4,6-dichloro-5-methoxy-2-(trifluoromethyl)-",COc1c(Cl)cc2[nH]c(C(F)(F)F)nc2c1Cl,"InChI=1S/C9H5Cl2F3N2O/c1-17-7-3(10)2-4-6(5(7)11)16-8(15-4)9(12,13)14/h2H,1H3,(H,15,16)",YOGWZFUBEGNQLT-UHFFFAOYSA-N,4.550046325512044,CATMOS,3
Ammonium 2-(perfluoropropoxy)perfluoropropionate,O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,"InChI=1S/C6HF11O3/c7-2(1(18)19,4(10,11)12)20-6(16,17)3(8,9)5(13,14)15/h(H,18,19)",CSEBNABAWMZWIF-UHFFFAOYSA-N,2.1629353710202275,CATMOS,11
"Benzimidazole, 4,7-dichloro-5,6-dimethoxy-2-(trifluoromethyl)-",COc1c(OC)c(Cl)c2[nH]c(C(F)(F)F)nc2c1Cl,"InChI=1S/C10H7Cl2F3N2O2/c1-18-7-3(11)5-6(4(12)8(7)19-2)17-9(16-5)10(13,14)15/h1-2H3,(H,16,17)",ZOTAAERTGSZERF-UHFFFAOYSA-N,3.4984180800633684,CATMOS,3
"2-Propanone, 1,3-dichloro-1,1,3,3-tetrafluoro-",O=C(C(F)(F)Cl)C(F)(F)Cl,"InChI=1S/C3Cl2F4O/c4-2(6,7)1(10)3(5,8)9",QRKKTXWUDLJYCV-UHFFFAOYSA-N,3.5133704476209044,CATMOS,4
Furconazole-cis,FC(F)(F)COC1CCC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,"InChI=1S/C15H14Cl2F3N3O2/c16-10-1-2-11(12(17)5-10)14(6-23-9-21-8-22-23)4-3-13(25-14)24-7-15(18,19)20/h1-2,5,8-9,13H,3-4,6-7H2",ULCWZQJLFZEXCS-UHFFFAOYSA-N,2.9446975728065463,CATMOS,3
"Benzimidazole-6-carbonitrile, 4-chloro-2-(trifluoromethyl)-",N#Cc1cc(Cl)c2nc(C(F)(F)F)[nH]c2c1,"InChI=1S/C9H3ClF3N3/c10-5-1-4(3-14)2-6-7(5)16-8(15-6)9(11,12)13/h1-2H,(H,15,16)",IRFXRRYWNCENBO-UHFFFAOYSA-N,5.0100012057658505,CATMOS,3
,OCCNCCOc1ccc(C(=C(c2ccccc2)C(F)(F)F)c2ccccc2)cc1,"InChI=1S/C25H24F3NO2/c26-25(27,28)24(21-9-5-2-6-10-21)23(19-7-3-1-4-8-19)20-11-13-22(14-12-20)31-18-16-29-15-17-30/h1-14,29-30H,15-18H2",MHXVDXXARZCVRK-UHFFFAOYSA-N,2.4847735416324976,CATMOS,3
"Benzimidazole, 6-bromo-4-nitro-2-(trifluoromethyl)-",O=[N+]([O-])c1cc(Br)cc2[nH]c(C(F)(F)F)nc12,"InChI=1S/C8H3BrF3N3O2/c9-3-1-4-6(5(2-3)15(16)17)14-7(13-4)8(10,11)12/h1-2H,(H,13,14)",USUPLSWSXSTERT-UHFFFAOYSA-N,5.401497208042979,CATMOS,3
Fluopropanate-sodium,O=C(O)C(F)(F)C(F)F,"InChI=1S/C3H2F4O2/c4-1(5)3(6,7)2(8)9/h1H,(H,8,9)",PXRROZVNOOEPPZ-UHFFFAOYSA-N,1.2314880285393122,CATMOS,4
"1(2H)-Pyridinepropanenitrile, 3,6-dihydro-4-(3-(trifluoromethyl)phenyl)-, hydrochloride",N#CCCN1CC=C(c2cccc(C(F)(F)F)c2)CC1,"InChI=1S/C15H15F3N2/c16-15(17,18)14-4-1-3-13(11-14)12-5-9-20(10-6-12)8-2-7-19/h1,3-5,11H,2,6,8-10H2",XVBCZSYHUGVSIB-UHFFFAOYSA-N,2.7358050228420563,CATMOS,3
Flecainide acetate,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,"InChI=1S/C17H20F6N2O3/c18-16(19,20)9-27-12-4-5-14(28-10-17(21,22)23)13(7-12)15(26)25-8-11-3-1-2-6-24-11/h4-5,7,11,24H,1-3,6,8-10H2,(H,25,26)",DJBNUMBKLMJRSA-UHFFFAOYSA-N,2.488318090733989,CATMOS,6
"1,1,2-Trichloro-1,2,2-trifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",AJDIZQLSFPQPEY-UHFFFAOYSA-N,1.272668218579473,CATMOS,3
"Benzimidazole, 2,4-bis(trifluoromethyl)-6-chloro-",FC(F)(F)c1nc2c(C(F)(F)F)cc(Cl)cc2[nH]1,"InChI=1S/C9H3ClF6N2/c10-3-1-4(8(11,12)13)6-5(2-3)17-7(18-6)9(14,15)16/h1-2H,(H,17,18)",JUWDRLQORVCZOE-UHFFFAOYSA-N,5.240155131154046,CATMOS,6
"Benzimidazole, 4-chloro-6-fluoro-2-(trifluoromethyl)-",Fc1cc(Cl)c2nc(C(F)(F)F)[nH]c2c1,"InChI=1S/C8H3ClF4N2/c9-4-1-3(10)2-5-6(4)15-7(14-5)8(11,12)13/h1-2H,(H,14,15)",BGXMIJJBIRSJKL-UHFFFAOYSA-N,5.080952460701367,CATMOS,4
Benzotrifluoride,FC(F)(F)c1ccccc1,"InChI=1S/C7H5F3/c8-7(9,10)6-4-2-1-3-5-6/h1-5H",GETTZEONDQJALK-UHFFFAOYSA-N,1.1646394858475002,CATMOS,3
1-Isocyanato-3-(trifluoromethyl)benzene,O=C=Nc1cccc(C(F)(F)F)c1,"InChI=1S/C8H4F3NO/c9-8(10,11)6-2-1-3-7(4-6)12-5-13/h1-4H",SXJYSIBLFGQAND-UHFFFAOYSA-N,1.6934809988330242,CATMOS,3
Hexafluoroacetone,O=C(C(F)(F)F)C(F)(F)F,"InChI=1S/C3F6O/c4-2(5,6)1(10)3(7,8)9",VBZWSGALLODQNC-UHFFFAOYSA-N,2.939127042276868,CATMOS,6
"Benzimidazole, 5-methoxy-4,6,7-trifluoro-2-(trifluoromethyl)-",COc1c(F)c(F)c2[nH]c(C(F)(F)F)nc2c1F,"InChI=1S/C9H4F6N2O/c1-18-7-3(11)2(10)5-6(4(7)12)17-8(16-5)9(13,14)15/h1H3,(H,16,17)",FNWIOHZZRITDOF-UHFFFAOYSA-N,4.970077507238715,CATMOS,6
"Benzimidazole-5-carboxylic acid, 2-(trifluoromethyl)-, methyl ester",COC(=O)c1ccc2nc(C(F)(F)F)[nH]c2c1,"InChI=1S/C10H7F3N2O2/c1-17-8(16)5-2-3-6-7(4-5)15-9(14-6)10(11,12)13/h2-4H,1H3,(H,14,15)",PHZVAKSKMBVEHM-UHFFFAOYSA-N,4.039040587252967,CATMOS,3
3-(Trifluoromethyl)aniline,Nc1cccc(C(F)(F)F)c1,"InChI=1S/C7H6F3N/c8-7(9,10)5-2-1-3-6(11)4-5/h1-4H,11H2",VIUDTWATMPPKEL-UHFFFAOYSA-N,2.356519390558589,CATMOS,3
Chlorflurazole,FC(F)(F)c1nc2c(Cl)c(Cl)ccc2[nH]1,"InChI=1S/C8H3Cl2F3N2/c9-3-1-2-4-6(5(3)10)15-7(14-4)8(11,12)13/h1-2H,(H,14,15)",KSROTSBULDYPKA-UHFFFAOYSA-N,4.289976715194396,CATMOS,3
"2,4-Difluoronitrobenzene",O=[N+]([O-])c1ccc(F)cc1F,InChI=1S/C6H3F2NO2/c7-4-1-2-6(9(10)11)5(8)3-4/h1-3H,RJXOVESYJFXCGI-UHFFFAOYSA-N,2.9006156160322925,CATMOS,2
"Ethane, 1,2,2-trichloro-1,1-difluoro-",FC(F)(Cl)C(Cl)Cl,"InChI=1S/C2HCl3F2/c3-1(4)2(5,6)7/h1H",FQAMAOOEZDRHHB-UHFFFAOYSA-N,1.7122073893651597,CATMOS,2
Fluperamide hydrochloride,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)c(C(F)(F)F)c2)CC1)(c1ccccc1)c1ccccc1,"InChI=1S/C30H32ClF3N2O2/c1-35(2)27(37)29(22-9-5-3-6-10-22,23-11-7-4-8-12-23)17-20-36-18-15-28(38,16-19-36)24-13-14-26(31)25(21-24)30(32,33)34/h3-14,21,38H,15-20H2,1-2H3",WPYGCZCMGMVGNO-UHFFFAOYSA-N,3.801933908730137,CATMOS,3
"Benzimidazole-5-carboxylic acid, 2-(trifluoromethyl)-, ethyl ester",CCOC(=O)c1ccc2nc(C(F)(F)F)[nH]c2c1,"InChI=1S/C11H9F3N2O2/c1-2-18-9(17)6-3-4-7-8(5-6)16-10(15-7)11(12,13)14/h3-5H,2H2,1H3,(H,15,16)",WOQXCSGTWFKUSU-UHFFFAOYSA-N,3.809894564591119,CATMOS,3
"alpha,alpha,alpha-Trifluoro-o-toluoyl chloride",O=C(Cl)c1ccccc1C(F)(F)F,"InChI=1S/C8H4ClF3O/c9-7(13)5-3-1-2-4-6(5)8(10,11)12/h1-4H",MXIUWSYTQJLIKE-UHFFFAOYSA-N,1.4054296596843514,CATMOS,3
"Benzimidazole, 6-bromo-5,7-dichloro-4-methyl-2-(trifluoromethyl)-",Cc1c(Cl)c(Br)c(Cl)c2[nH]c(C(F)(F)F)nc12,"InChI=1S/C9H4BrCl2F3N2/c1-2-4(11)3(10)5(12)7-6(2)16-8(17-7)9(13,14)15/h1H3,(H,16,17)",ADZMYPDRUCSMAN-UHFFFAOYSA-N,4.280014819478978,CATMOS,3
,OC1(c2ccc(C(F)(F)F)cc2)c2ccccc2C2=NCCN21,"InChI=1S/C17H13F3N2O/c18-17(19,20)12-7-5-11(6-8-12)16(23)14-4-2-1-3-13(14)15-21-9-10-22(15)16/h1-8,23H,9-10H2",GOLJCLWIKGHNDS-UHFFFAOYSA-N,2.955059204387146,CATMOS,3
,CC(F)(F)C(F)(F)C(F)(F)C(O)(F)F,"InChI=1S/C5H4F8O/c1-2(6,7)3(8,9)4(10,11)5(12,13)14/h14H,1H3",KUGBQWBWWNPMIT-UHFFFAOYSA-N,2.320296023467846,CATMOS,8
"Benzamide, 5-butyl-2-hydroxy-N-(3-(trifluoromethyl)phenyl)-",CCCCc1ccc(O)c(C(=O)Nc2cccc(C(F)(F)F)c2)c1,"InChI=1S/C18H18F3NO2/c1-2-3-5-12-8-9-16(23)15(10-12)17(24)22-14-7-4-6-13(11-14)18(19,20)21/h4,6-11,23H,2-3,5H2,1H3,(H,22,24)",NUVRXXIKUYEYFQ-UHFFFAOYSA-N,2.130129119329053,CATMOS,3
,FC(F)(F)c1cccc(OCC2CNC(=S)O2)c1,"InChI=1S/C11H10F3NO2S/c12-11(13,14)7-2-1-3-8(4-7)16-6-9-5-15-10(18)17-9/h1-4,9H,5-6H2,(H,15,18)",AIFMZFWIIGAWMP-UHFFFAOYSA-N,2.72356689643928,CATMOS,3
PFOS,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF17O3S/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)29(26,27)28/h(H,26,27,28)",YFSUTJLHUFNCNZ-UHFFFAOYSA-N,3.2994057112770183,CATMOS,17
"4-Benzimidazolesulfonic acid, 5,6,7-trichloro-2-(trifluoromethyl)-",O=S(=O)(O)c1c(Cl)c(Cl)c(Cl)c2[nH]c(C(F)(F)F)nc12,"InChI=1S/C8H2Cl3F3N2O3S/c9-1-2(10)4-5(6(3(1)11)20(17,18)19)16-7(15-4)8(12,13)14/h(H,15,16)(H,17,18,19)",FWQRRDSRAJTOGV-UHFFFAOYSA-N,3.229199084679706,CATMOS,3
"Benzimidazole-4-carbonitrile, 6-chloro-2-(trifluoromethyl)-",N#Cc1cc(Cl)cc2[nH]c(C(F)(F)F)nc12,"InChI=1S/C9H3ClF3N3/c10-5-1-4(3-14)7-6(2-5)15-8(16-7)9(11,12)13/h1-2H,(H,15,16)",DUUONMUYQRZUOH-UHFFFAOYSA-N,4.710058305743083,CATMOS,3
"Benzimidazol-6-ol, 5-chloro-2-(trifluoromethyl)-",Oc1cc2nc(C(F)(F)F)[nH]c2cc1Cl,"InChI=1S/C8H4ClF3N2O/c9-3-1-4-5(2-6(3)15)14-7(13-4)8(10,11)12/h1-2,15H,(H,13,14)",WVFCYJMVRGLCPI-UHFFFAOYSA-N,3.630029486423044,CATMOS,3
"1-Butanol, 2,2,3,3,4,4,4-heptafluoro-",OCC(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4H3F7O/c5-2(6,1-12)3(7,8)4(9,10)11/h12H,1H2",WXJFKAZDSQLPBX-UHFFFAOYSA-N,1.7412384434191015,CATMOS,7
Triflumizole,CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)n1ccnc1,"InChI=1S/C15H15ClF3N3O/c1-2-7-23-9-14(22-6-5-20-10-22)21-13-4-3-11(16)8-12(13)15(17,18)19/h3-6,8,10H,2,7,9H2,1H3",HSMVPDGQOIQYSR-UHFFFAOYSA-N,2.684458659160894,CATMOS,3
4-Chloro-3-(trifluoromethyl)phenyl isocyanate,O=C=Nc1ccc(Cl)c(C(F)(F)F)c1,"InChI=1S/C8H3ClF3NO/c9-7-2-1-5(13-4-14)3-6(7)8(10,11)12/h1-3H",NBJZEUQTGLSUOB-UHFFFAOYSA-N,2.646531152860363,CATMOS,3
"2,4-Dichlorobenzotrifluoride",FC(F)(F)c1ccc(Cl)cc1Cl,"InChI=1S/C7H3Cl2F3/c8-4-1-2-5(6(9)3-4)7(10,11)12/h1-3H",KALSHRGEFLVFHE-UHFFFAOYSA-N,2.000002019969637,CATMOS,3
Fluvalinate,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,"InChI=1S/C26H22ClF3N2O3/c1-16(2)24(32-22-12-11-18(14-21(22)27)26(28,29)30)25(33)35-23(15-31)17-7-6-10-20(13-17)34-19-8-4-3-5-9-19/h3-14,16,23-24,32H,1-2H3",INISTDXBRIBGOC-UHFFFAOYSA-N,3.2677290729566035,CATMOS,3
Prodiamine,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],"InChI=1S/C13H17F3N4O4/c1-3-5-18(6-4-2)11-9(19(21)22)7-8(13(14,15)16)10(17)12(11)20(23)24/h7H,3-6,17H2,1-2H3",RSVPPPHXAASNOL-UHFFFAOYSA-N,1.5443929906887752,CATMOS,3
Ethalfluralin,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],"InChI=1S/C13H14F3N3O4/c1-4-17(7-8(2)3)12-10(18(20)21)5-9(13(14,15)16)6-11(12)19(22)23/h5-6H,2,4,7H2,1,3H3",PTFJIKYUEPWBMS-UHFFFAOYSA-N,1.5807829559110105,CATMOS,3
"Benzimidazole, 4-chloro-6-nitro-2-(trifluoromethyl)-",O=[N+]([O-])c1cc(Cl)c2nc(C(F)(F)F)[nH]c2c1,"InChI=1S/C8H3ClF3N3O2/c9-4-1-3(15(16)17)2-5-6(4)14-7(13-5)8(10,11)12/h1-2H,(H,13,14)",HNDQGIJHWSTKDW-UHFFFAOYSA-N,4.430095006430327,CATMOS,3
"Benzimidazole, 6-bromo-4,5-dichloro-2-(trifluoromethyl)-",FC(F)(F)c1nc2c(Cl)c(Cl)c(Br)cc2[nH]1,"InChI=1S/C8H2BrCl2F3N2/c9-2-1-3-6(5(11)4(2)10)16-7(15-3)8(12,13)14/h1H,(H,15,16)",AVFXGPGKCKKMBB-UHFFFAOYSA-N,5.080069153152131,CATMOS,3
,OCCC1CCN(CCC=C2c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1,"InChI=1S/C24H25F4NOS/c25-18-4-5-20-19(2-1-10-29-11-7-16(8-12-29)9-13-30)21-14-17(24(26,27)28)3-6-22(21)31-23(20)15-18/h2-6,14-16,30H,1,7-13H2",CCUOZZURYIZOKX-UHFFFAOYSA-N,5.478594389581699,CATMOS,4
"1(2H)-Quinazolineacetic acid, 3,4-dihydro-3-((4-bromo-2-fluorophenyl)methyl)-2,4-dioxo-7-fluoro-",O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(F)cc21,"InChI=1S/C17H11BrF2N2O4/c18-10-2-1-9(13(20)5-10)7-22-16(25)12-4-3-11(19)6-14(12)21(17(22)26)8-15(23)24/h1-6H,7-8H2,(H,23,24)",XLOHSVVOWVIPFC-UHFFFAOYSA-N,2.297353153729545,CATMOS,2
Flutriafol,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,"InChI=1S/C16H13F2N3O/c17-13-7-5-12(6-8-13)16(22,9-21-11-19-10-20-21)14-3-1-2-4-15(14)18/h1-8,10-11,22H,9H2",JWUCHKBSVLQQCO-UHFFFAOYSA-N,2.422088514689825,CATMOS,2
Triflupromazine,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,"InChI=1S/C18H19F3N2S/c1-22(2)10-5-11-23-14-6-3-4-7-16(14)24-17-9-8-13(12-15(17)23)18(19,20)21/h3-4,6-9,12H,5,10-11H2,1-2H3",XSCGXQMFQXDFCW-UHFFFAOYSA-N,3.279894980011638,CATMOS,3
"Benzimidazole, 6,7-dibromo-4,5-dichloro-2-(trifluoromethyl)-",FC(F)(F)c1nc2c(Cl)c(Cl)c(Br)c(Br)c2[nH]1,"InChI=1S/C8HBr2Cl2F3N2/c9-1-2(10)5-6(4(12)3(1)11)17-7(16-5)8(13,14)15/h(H,16,17)",DOLFLKHOXRDYEZ-UHFFFAOYSA-N,5.079958334640779,CATMOS,3
"1H-Benzimidazole, 2-(trifluoromethyl)- (9CI)",FC(F)(F)c1nc2ccccc2[nH]1,"InChI=1S/C8H5F3N2/c9-8(10,11)7-12-5-3-1-2-4-6(5)13-7/h1-4H,(H,12,13)",MXFMPTXDHSDMTI-UHFFFAOYSA-N,3.822672345492635,CATMOS,3
Hydramethylnon,CC1(C)CNC(=NN=C(C=Cc2ccc(C(F)(F)F)cc2)C=Cc2ccc(C(F)(F)F)cc2)NC1,"InChI=1S/C25H24F6N4/c1-23(2)15-32-22(33-16-23)35-34-21(13-7-17-3-9-19(10-4-17)24(26,27)28)14-8-18-5-11-20(12-6-18)25(29,30)31/h3-14H,15-16H2,1-2H3,(H2,32,33,35)",IQVNEKKDSLOHHK-UHFFFAOYSA-N,2.6406887605060194,CATMOS,6
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctan-1-ol",OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8H5F13O/c9-3(10,1-2-22)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h22H,1-2H2",GRJRKPMIRMSBNK-UHFFFAOYSA-N,2.017153827371049,CATMOS,13
"2,2-Propanediamine, N,N,N',N'-tetrafluoro-1,3-bis(2-fluoro-2,2-dinitroethoxy)-",O=[N+]([O-])C(F)(COCC(COCC(F)([N+](=O)[O-])[N+](=O)[O-])(N(F)F)N(F)F)[N+](=O)[O-],"InChI=1S/C7H8F6N6O10/c8-6(16(20)21,17(22)23)3-28-1-5(14(10)11,15(12)13)2-29-4-7(9,18(24)25)19(26)27/h1-4H2",RPDFNWYMPMQRQO-UHFFFAOYSA-N,2.7438118376595138,CATMOS,2
"Benzenamine, 4,4'-[[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]bis(4,1-phenyleneoxy)]bis-",Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,"InChI=1S/C27H20F6N2O2/c28-26(29,30)25(27(31,32)33,17-1-9-21(10-2-17)36-23-13-5-19(34)6-14-23)18-3-11-22(12-4-18)37-24-15-7-20(35)8-16-24/h1-16H,34-35H2",HHLMWQDRYZAENA-UHFFFAOYSA-N,2.587607944159435,CATMOS,6
"Cyclopentene, 1,2-dichloro-3,3,4,4,5,5-hexafluoro-",FC1(F)C(Cl)=C(Cl)C(F)(F)C1(F)F,"InChI=1S/C5Cl2F6/c6-1-2(7)4(10,11)5(12,13)3(1,8)9",ABPBVCKGWWGZDP-UHFFFAOYSA-N,2.9419176394541373,CATMOS,6
Midaflur,NC1=NC(C(F)(F)F)(C(F)(F)F)NC1(C(F)(F)F)C(F)(F)F,"InChI=1S/C7H3F12N3/c8-4(9,10)2(5(11,12)13)1(20)21-3(22-2,6(14,15)16)7(17,18)19/h22H,(H2,20,21)",KYWMWUUMCDZISK-UHFFFAOYSA-N,4.274033816892162,CATMOS,12
Sevoflurane,FCOC(C(F)(F)F)C(F)(F)F,"InChI=1S/C4H3F7O/c5-1-12-2(3(6,7)8)4(9,10)11/h2H,1H2",DFEYYRMXOJXZRJ-UHFFFAOYSA-N,1.3011016411783514,CATMOS,7
"2,3,4,5,6-Pentafluorobenzyl alcohol",OCc1c(F)c(F)c(F)c(F)c1F,"InChI=1S/C7H3F5O/c8-3-2(1-13)4(9)6(11)7(12)5(3)10/h13H,1H2",PGJYYCIOYBZTPU-UHFFFAOYSA-N,2.342620042553348,CATMOS,5
