SMILES,MHFP,first_class,second_class,type,num_id,chain_type,carbon_chain_length,ring_size,functional_group,CF2,CF3,CFX,cf_length,group_id,predicted_toxicity,Uncertainty
CN(C)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,[250618452 104111782  97181807 ... 252899431  37515159 107724166],Other PFASs,Aromatic PFASs,4,13,cyclic,,6.0,Amine,5,1,0,6,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_5_CF3_1_CFX_0,5.0209494,0.26870257
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,[ 19469312  85244370 107816900 ... 291378977 281920279  46460802],Polyfluoroalkyl acids,PolyFCA derivatives,3,14,straight,12.0,,Ester,4,0,0,4,Polyfluoroalkyl acids_PolyFCA derivatives_straight_12.0_Ester_NA_CF2_4_CF3_0_CFX_0,4.623599,0.26514965
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[101390333  15733760 107816900 ...  18403413  53184391  65634510],PFAA precursors,PACFs,2,15,branched,11.0,,O=C(F),7,2,2,11,PFAA precursors_PACFs_branched_11.0_Unknown_NA_CF2_7_CF3_2_CFX_2,3.1691148,0.252712
OCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  36163133 ... 291431448  23638503  71007262],PFAA precursors,PolyFEACs,2,16,straight,21.0,,Alcohol,7,7,6,20,PFAA precursors_PolyFEACs_straight_21.0_Alcohol_NA_CF2_7_CF3_7_CFX_6,11.640859,0.3557461
FC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I)C(F)(F)F,[   853465 398765097  63064138 ...  53870161 101296679 151237944],Other PFASs,PFPEs,4,17,straight,9.0,,Ether,6,2,1,9,Other PFASs_PFPEs_straight_9.0_Ether_NA_CF2_6_CF3_2_CFX_1,5.5599403,0.2836274
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(-c2ccc(Br)s2)s1,[115611454 104111782  26425151 ...  54774398 160972743  72180978],Other PFASs,Aromatic PFASs,4,18,cyclic,,5.0,Halogen,5,1,0,6,Other PFASs_Aromatic PFASs_cyclic_NA_Halogen_5.0_CF2_5_CF3_1_CFX_0,5.4000483,0.2784244
O=c1cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)oc2ccccc12,[ 46692570  39139378  63689098 ...  69892559 107457159 107724166],Other PFASs,Aromatic PFASs,4,19,cyclic,,6.0,Aromatic,3,1,0,4,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_6.0_CF2_3_CF3_1_CFX_0,2.4473705,0.25396168
O=C(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1cccnc1,[250618452  15928446  78177578 ...  17799215  43796935 151237944],Other PFASs,Aromatic PFASs,4,20,cyclic,,6.0,Ester,7,1,0,8,Other PFASs_Aromatic PFASs_cyclic_NA_Ester_6.0_CF2_7_CF3_1_CFX_0,2.7651572,0.22578111
O=C(Nc1ccccc1I)C(F)(F)C(F)(F)C(F)(F)F,[ 42684322   8492060 107816900 ...  54552999 100272231 132511772],Other PFASs,Aromatic PFASs,4,21,cyclic,,6.0,Amine,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_2_CF3_1_CFX_0,2.4475698,0.25548023
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908],PFAA precursors,n:2 fluorotelomer-based substances,2,22,straight,14.0,,Phosphate,11,1,0,12,PFAA precursors_n:2 fluorotelomer-based substances_straight_14.0_Phosphate_NA_CF2_11_CF3_1_CFX_0,3.2244163,0.22039738
O=[N+]([O-])OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 144813810 237958519  22248924],Other PFASs,others,4,23,straight,6.0,,Double bond,3,1,0,4,Other PFASs_others_straight_6.0_Unknown_NA_CF2_3_CF3_1_CFX_0,2.3789086,0.25440508
O=C(O)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452 181809277 107816900 ...  88808901 168823863 151237944],PFAAs,PFCAs,1,24,branched,8.0,,Carboxylic Acid,2,3,2,7,PFAAs_PFCAs_branched_8.0_Carboxylic Acid_NA_CF2_2_CF3_3_CFX_2,2.7123463,0.2562309
CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 133635739 138388023 151237944],PFAA precursors,PASF-based substances,2,25,straight,12.0,,Alcohol,7,1,0,8,PFAA precursors_PASF-based substances_straight_12.0_Alcohol_NA_CF2_7_CF3_1_CFX_0,3.4138985,0.19917946
O=C(O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ... 189837130  23638503  50610154],PFAAs,PFECAs,1,26,straight,9.0,,Carboxylic Acid,3,3,2,8,PFAAs_PFECAs_straight_9.0_Carboxylic Acid_NA_CF2_3_CF3_3_CFX_2,5.5903845,0.2894809
CCCS(=O)(=O)c1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1CC,[ 31840531  34348060  17313015 ... 112546150 336304663  11852866],Other PFASs,Aromatic PFASs,4,27,cyclic,,6.0,Carboxylic Acid,0,2,1,3,Other PFASs_Aromatic PFASs_cyclic_NA_Carboxylic Acid_6.0_CF2_0_CF3_2_CFX_1,2.2487173,0.21685852
O=C(Nc1ccc(Cl)c(Cl)c1)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060 107816900 ...  25560912  98535143 151237944],Other PFASs,Aromatic PFASs,4,28,cyclic,,6.0,Amine,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_2_CF3_1_CFX_0,3.8834686,0.2722005
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[171249045  71278405  95504826 ...  88808901  43796935 130781908],PFAA precursors,n:2 fluorotelomer-based substances,2,29,branched,15.0,,Phosphate,10,2,1,13,PFAA precursors_n:2 fluorotelomer-based substances_branched_15.0_Phosphate_NA_CF2_10_CF3_2_CFX_1,3.3787374,0.22018889
COc1ccc(C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1,[250618452 109049955  23369274 ...  16937123 124409255  75695922],Other PFASs,Aromatic PFASs,4,30,cyclic,,6.0,Ether,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Ether_6.0_CF2_2_CF3_1_CFX_0,3.546872,0.26217613
OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  58849484  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,31,straight,15.0,,Alcohol,11,1,0,12,PFAA precursors_n:2 fluorotelomer-based substances_straight_15.0_Alcohol_NA_CF2_11_CF3_1_CFX_0,3.5067616,0.25158432
CN(CC(=O)O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[175393702   8492060  12560177 ... 194511214 281920279 110011752],Other PFASs,Amide derivatives,4,32,straight,12.0,,Carboxylic Acid,7,1,0,8,Other PFASs_Amide derivatives_straight_12.0_Carboxylic Acid_NA_CF2_7_CF3_1_CFX_0,2.8290393,0.21280466
O=C(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccc(O)cc1,[ 35941647  12005311  78177578 ... 110403402  18477239  46460802],Other PFASs,Aromatic PFASs,4,33,cyclic,,6.0,Ester,6,1,0,7,Other PFASs_Aromatic PFASs_cyclic_NA_Ester_6.0_CF2_6_CF3_1_CFX_0,2.947015,0.25434783
OC(CCl)(c1ccc(F)cc1F)C(F)(F)C(F)(F)C(F)(F)F,[111000236  23751931 107816900 ...  61049601 144535159  49220794],Other PFASs,Aromatic PFASs,4,34,cyclic,,6.0,Alcohol,2,1,2,5,Other PFASs_Aromatic PFASs_cyclic_NA_Alcohol_6.0_CF2_2_CF3_1_CFX_2,3.023822,0.25347373
CCS(=O)(=O)N(CC(=O)O)C(F)(F)C(F)(F)F,[238259188  33988699  17313015 ...  83238084  31798551 110011752],Polyfluoroalkyl acids,PolyFCA derivatives,3,35,straight,6.0,,Carboxylic Acid,1,1,0,2,Polyfluoroalkyl acids_PolyFCA derivatives_straight_6.0_Carboxylic Acid_NA_CF2_1_CF3_1_CFX_0,3.2450836,0.24424073
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(F)cc2Cl)c1F,[ 40207599   2437394   8411880 ...  25560912  76679431 107766604],Other PFASs,Aromatic PFASs,4,36,cyclic,,6.0,Amine,0,2,3,5,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_0_CF3_2_CFX_3,1.8537524,0.18312746
FC1(F)OC(F)(F)C(F)(F)C1(F)F,[  67428694 1244047753  107816900 ...  363754111  101296679  151237944],"PFAA precursors, cyclic","HFEs, cyclic",2,37,cyclic,,5.0,Ether,4,0,0,4,"PFAA precursors, cyclic_HFEs, cyclic_cyclic_NA_Ether_5.0_CF2_4_CF3_0_CFX_0",4.1399016,0.27222413
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(-c2cccs2)s1,[115611454  71257929  26425151 ... 105635104  93768375 151237944],Other PFASs,Aromatic PFASs,4,38,cyclic,,5.0,Aromatic,5,1,0,6,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_5.0_CF2_5_CF3_1_CFX_0,2.9523563,0.25479087
CC1(C)OB(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)s2)OC1(C)C,[ 62303660 104111782  97181807 ...  15060634 160972743 107724166],Other PFASs,Aromatic PFASs,4,39,cyclic,,5.0,Aromatic,5,1,0,6,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_5.0_CF2_5_CF3_1_CFX_0,2.8310356,0.21201889
O=C(OOC(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,[148576640  29724983 232751249 ... 241114849 422801479 261466434],Polyfluoroalkyl acids,PolyFCA derivatives,3,40,branched,8.0,,Ester,0,4,2,6,Polyfluoroalkyl acids_PolyFCA derivatives_branched_8.0_Ester_NA_CF2_0_CF3_4_CFX_2,2.0725203,0.25777885
CC(=O)/N=S(\c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  12465148 107816900 ... 141614473  22685495  29302852],Other PFASs,Aromatic PFASs,4,41,cyclic,,6.0,Amine,3,1,0,4,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_3_CF3_1_CFX_0,4.404398,0.27466044
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 286019159 240371511 151237944],PFAA precursors,HFCs,2,42,straight,10.0,,None,9,1,0,10,PFAA precursors_HFCs_straight_10.0_Unknown_NA_CF2_9_CF3_1_CFX_0,2.7089472,0.24570383
O=C(N=NC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 41190720 104111782  47004287 ... 171882282  43796935 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,3,43,straight,18.0,,Ester,10,2,0,12,Polyfluoroalkyl acids_PolyFCA derivatives_straight_18.0_Ester_NA_CF2_10_CF3_2_CFX_0,3.6124072,0.25177512
CCCC=CC(F)(F)C(F)(F)C(F)(F)F,[ 75568764   5065065 107816900 ... 297668813  14046279 151237944],PFAA precursors,SFAenes,2,44,straight,8.0,,Double bond,2,1,0,3,PFAA precursors_SFAenes_straight_8.0_Unknown_NA_CF2_2_CF3_1_CFX_0,2.0162468,0.24520767
O=C(Cl)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,[111000236 108406697 144793530 ... 139403392 101296679  70269816],Other PFASs,PFPEs,4,45,straight,5.0,,Ether,3,1,0,4,Other PFASs_PFPEs_straight_5.0_Ether_NA_CF2_3_CF3_1_CFX_0,1.8368478,0.21306536
OC1OCCCC1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 24605412  89731837  97181807 ... 210728443  38811175  75491352],"PFAA precursors, cyclic","PolyFEACs, cyclic",2,46,cyclic,,6.0,Alcohol,5,1,0,6,"PFAA precursors, cyclic_PolyFEACs, cyclic_cyclic_NA_Alcohol_6.0_CF2_5_CF3_1_CFX_0",3.142412,0.25368878
O=S(=O)(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)F,[250618452 107055568  17313015 ... 224462146 171866167 151237944],PFAAs,PFSA derivatives,1,47,straight,8.0,,Sulfonate Ester,8,0,0,8,PFAAs_PFSA derivatives_straight_8.0_Sulfonate Ester_NA_CF2_8_CF3_0_CFX_0,1.8957973,0.23858993
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cc2ccccc2[nH]1,[  6233941  39139378  26425151 ... 215679073  63876583   5446964],Other PFASs,Aromatic PFASs,4,48,cyclic,,5.0,Aromatic,3,1,0,4,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_5.0_CF2_3_CF3_1_CFX_0,3.5562763,0.26270527
FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,[ 71840584 233894676 107816900 ... 581400340  23638503  36136210],Other PFASs,Perfluoroalkylethers,4,49,straight,5.0,,Ether,3,2,0,5,Other PFASs_Perfluoroalkylethers_straight_5.0_Ether_NA_CF2_3_CF3_2_CFX_0,2.7337875,0.25664335
O=S(=O)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  49018156  17313015 ... 171882282  43796935 151237944],PFAA precursors,Sulfonyl chloride,2,50,straight,11.0,,Halogen,8,1,0,9,PFAA precursors_Sulfonyl chloride_straight_11.0_Halogen_NA_CF2_8_CF3_1_CFX_0,3.3758225,0.25399986
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 330153186  14046279 151237944],PFAA precursors,PolyFAenes,2,51,straight,14.0,,Double bond,10,2,0,12,PFAA precursors_PolyFAenes_straight_14.0_Unknown_NA_CF2_10_CF3_2_CFX_0,3.0211742,0.25377303
CCN(CC(=O)O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060  12560177 ... 194511214 281920279 110011752],Other PFASs,Amide derivatives,4,52,straight,11.0,,Carboxylic Acid,5,1,0,6,Other PFASs_Amide derivatives_straight_11.0_Carboxylic Acid_NA_CF2_5_CF3_1_CFX_0,2.3401368,0.21192023
F/C(=C(\C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,[ 43491808 541103106 107816900 ...  65874932  94348247 115468828],PFAA precursors,PFAenes,2,53,branched,8.0,,Double bond,1,4,2,7,PFAA precursors_PFAenes_branched_8.0_Unknown_NA_CF2_1_CF3_4_CFX_2,2.3704443,0.25485188
C=C(CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  18439196 ...  15279529  16565031  22160906],Polyfluoroalkyl acids,PolyFCA derivatives,3,54,branched,21.0,,Ester,10,2,0,12,Polyfluoroalkyl acids_PolyFCA derivatives_branched_21.0_Ester_NA_CF2_10_CF3_2_CFX_0,3.3729534,0.25304726
CCN(CCOP(=O)(OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818  55416695 151237944],PFAA precursors,PASF-based substances,2,55,straight,33.0,,Amine,18,3,0,21,PFAA precursors_PASF-based substances_straight_33.0_Amine_NA_CF2_18_CF3_3_CFX_0,6.687842,0.21110383
O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ...   8368225  99703927  64222056],PFAAs,PFCA-anhydrides,1,56,straight,14.0,,Ester,10,2,0,12,PFAAs_PFCA-anhydrides_straight_14.0_Ester_NA_CF2_10_CF3_2_CFX_0,4.100199,0.25865448
O=C(O)C(F)(F)COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[192864003 377861323 107816900 ...  37687752 101296679 151237944],Polyfluoroalkyl acids,PolyFECAs,3,57,straight,7.0,,Carboxylic Acid,4,1,0,5,Polyfluoroalkyl acids_PolyFECAs_straight_7.0_Carboxylic Acid_NA_CF2_4_CF3_1_CFX_0,2.4772708,0.2537001
CCOC(=O)C(N)CC(F)(F)C(F)(F)C(F)(F)F,[ 19469312 192842905  14316170 ... 210960177 243907095    175516],Polyfluoroalkyl acids,PolyFCA derivatives,3,58,straight,8.0,,Ester,2,1,0,3,Polyfluoroalkyl acids_PolyFCA derivatives_straight_8.0_Ester_NA_CF2_2_CF3_1_CFX_0,1.128643,0.11353007
O=C1c2c(F)c(F)c(F)c(F)c2C1(F)C(F)(C(F)(F)F)C(F)(F)F,[104151341   9817950 104885532 ... 131684571   9822471 169374042],Other PFASs,Aromatic PFASs,4,59,cyclic,,4.0,Aromatic,0,2,6,8,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_4.0_CF2_0_CF3_2_CFX_6,2.9531395,0.2534236
C=CC(=O)OCCN(C)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  33988699  17313015 ... 171882282  31798551  27743636],Polyfluoroalkyl acids,PolyFCA derivatives,3,60,straight,22.0,,Ester,13,1,0,14,Polyfluoroalkyl acids_PolyFCA derivatives_straight_22.0_Ester_NA_CF2_13_CF3_1_CFX_0,3.4669237,0.1631782
COC(=O)C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OC,[ 21266600 104111782  97181807 ...  16631887  43796935 108474474],Polyfluoroalkyl acids,PolyFCA derivatives,3,61,branched,13.0,,Ester,5,1,0,6,Polyfluoroalkyl acids_PolyFCA derivatives_branched_13.0_Ester_NA_CF2_5_CF3_1_CFX_0,2.7418802,0.25750193
O=C(O)/C=C(/c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,[154622744  77620277 107816900 ... 156800544  51467815  29516144],Other PFASs,Aromatic PFASs,4,62,cyclic,,6.0,Carboxylic Acid,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Carboxylic Acid_6.0_CF2_2_CF3_1_CFX_0,2.3716657,0.25470117
COc1ccc2nccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2c1,[250618452 107055568  17313015 ...  17799215 107222071  29302852],Other PFASs,Aromatic PFASs,4,63,cyclic,,6.0,Ether,3,1,0,4,Other PFASs_Aromatic PFASs_cyclic_NA_Ether_6.0_CF2_3_CF3_1_CFX_0,2.381349,0.25438955
OCCOCCC(F)(F)F,[146941168  32511046 232751249 ... 313457457 269218407  98778836],PFAA precursors,PolyFEACs,2,64,straight,5.0,,Alcohol,0,1,0,1,PFAA precursors_PolyFEACs_straight_5.0_Alcohol_NA_CF2_0_CF3_1_CFX_0,2.312372,0.255354
CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 281920279 151237944],PFAA precursors,HFCs,2,65,straight,22.0,,None,3,1,0,4,PFAA precursors_HFCs_straight_22.0_Unknown_NA_CF2_3_CF3_1_CFX_0,2.4909773,0.25866252
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 90403826  71278405  42493806 ...  31057643 126736119 151237944],PFAAs,PFPIAs,1,66,straight,8.0,,Phosphate,6,2,0,8,PFAAs_PFPIAs_straight_8.0_Unknown_NA_CF2_6_CF3_2_CFX_0,2.438041,0.25527704
O=C(O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 541103106  87855067 ...  37687752 281920279 151237944],PFAAs,PFCAs,1,67,straight,4.0,,Carboxylic Acid,2,1,0,3,PFAAs_PFCAs_straight_4.0_Carboxylic Acid_NA_CF2_2_CF3_1_CFX_0,2.4755154,0.25572655
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,[250618452  21086568  97181807 ...  88808901  68472071 151237944],Other PFASs,Perfluoroalkanes,4,68,branched,8.0,,None,4,3,1,8,Other PFASs_Perfluoroalkanes_branched_8.0_Unknown_NA_CF2_4_CF3_3_CFX_1,2.6150975,0.25436026
